action_taken,derived_race,derived_ethnicity,applicant_sex,applicant_age,income,debt_to_income_ratio,applicant_credit_score_type,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,loan_type,loan_purpose,lien_status,property_value,occupancy_type,tract_minority_population_percent,aus-1,denial_reason-1
2,Asian,Not Hispanic or Latino,2,45-54,170.0,40,1,515000.0,80.0,5.49,-0.304,1,1,1,,1,47.96,2,10
1,White,Not Hispanic or Latino,1,45-54,195.0,20%-<30%,9,305000.0,42.848,5.75,0.664,1,1,1,705000,1,47.96,2,10
2,White,Not Hispanic or Latino,2,25-34,235.0,30%-<36%,3,705000.0,80.0,7.125,0.252,1,1,1,,1,47.96,2,10
2,White,Not Hispanic or Latino,2,65-74,270.0,48,9,205000.0,29.09,6.75,0.471,1,1,1,,1,47.96,2,10
1,Asian,Not Hispanic or Latino,2,35-44,200.0,30%-<36%,2,415000.0,67.606,6.0,-0.074,1,1,1,615000,1,47.96,2,10
3,Black or African American,Hispanic or Latino,2,35-44,173.0,>60%,9,645000.0,90.0,,,1,1,1,,1,31.76,1,1
1,White,Not Hispanic or Latino,2,45-54,298.0,20%-<30%,1,405000.0,52.78,6.125,-0.31,1,1,1,755000,1,47.96,2,10
1,White,Not Hispanic or Latino,1,55-64,67.0,48,3,255000.0,80.0,6.5,0.326,1,1,1,325000,1,20.01,2,10
1,White,Not Hispanic or Latino,2,55-64,93.0,49,2,375000.0,72.941,7.125,0.419,1,1,1,515000,1,29.72,1,10
4,White,Not Hispanic or Latino,2,35-44,459.0,,9,665000.0,,,,1,1,1,,1,12.78,1,10
1,White,Not Hispanic or Latino,1,35-44,5039.0,<20%,3,1505000.0,70.0,4.75,-1.476,1,1,1,2155000,1,21.56,7,10
1,White,Not Hispanic or Latino,1,35-44,607.0,36,1,795000.0,79.6,4.875,-0.413,1,1,1,995000,2,12.78,7,10
4,White,Not Hispanic or Latino,1,25-34,252.0,,9,605000.0,,,,1,1,1,,1,47.96,1,10
1,Asian,Not Hispanic or Latino,2,35-44,268.0,20%-<30%,2,445000.0,80.0,6.125,-0.515,1,1,1,555000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,35-44,3437.0,<20%,3,2035000.0,89.956,4.75,-1.643,1,1,1,2265000,2,13.74,6,10
1,White,Not Hispanic or Latino,1,35-44,370.0,20%-<30%,1,355000.0,80.0,6.625,-0.048,1,1,1,445000,1,13.39,2,10
1,White,Not Hispanic or Latino,1,45-54,69.0,49,1,255000.0,45.83,6.625,-0.537,1,1,1,545000,1,19.02,1,10
1,White,Not Hispanic or Latino,1,35-44,685.0,20%-<30%,2,655000.0,86.667,4.625,-1.659,1,1,1,755000,2,13.87,6,10
1,White,Not Hispanic or Latino,1,55-64,2690.0,<20%,3,1595000.0,80.0,5.75,-1.149,1,1,1,1995000,2,16.54,6,10
1,White,Not Hispanic or Latino,2,45-54,130.0,45,1,435000.0,75.862,6.875,-0.572,1,1,1,585000,1,31.03,1,10
3,White,Ethnicity Not Available,1,25-34,61.0,>60%,3,375000.0,96.5,,,2,1,1,375000,1,20.03,1,6
2,White,Ethnicity Not Available,2,25-34,123.0,50%-60%,3,335000.0,96.5,6.25,0.251,2,1,1,335000,1,27.18,1,10
5,White,Hispanic or Latino,1,35-44,108.0,,9,415000.0,,,,2,1,1,,1,28.19,1,10
1,White,Not Hispanic or Latino,1,65-74,400.0,36,1,505000.0,95.0,6.375,-0.147,3,1,1,525000,1,39.18,1,10
1,White,Not Hispanic or Latino,1,25-34,118.0,49,3,375000.0,95.0,5.625,-0.805,3,1,1,385000,1,28.19,1,10
3,White,Not Hispanic or Latino,1,65-74,18.0,>60%,1,85000.0,,,,1,1,1,95000,1,29.58,6,1
1,White,Not Hispanic or Latino,1,65-74,100.0,20%-<30%,1,75000.0,,8.0,2.028,1,1,1,125000,1,34.55,6,10
1,Black or African American,Not Hispanic or Latino,2,25-34,55.0,42,1,75000.0,,8.25,2.626,1,1,1,95000,1,26.63,6,10
1,White,Not Hispanic or Latino,1,25-34,80.0,47,1,205000.0,,7.5,1.252,1,1,1,225000,1,21.82,6,10
1,White,Not Hispanic or Latino,2,45-54,153.0,30%-<36%,9,175000.0,,8.3,1.668,1,1,1,205000,1,34.99,6,10
2,White,Not Hispanic or Latino,1,55-64,69.0,20%-<30%,1,95000.0,,8.0,1.795,1,1,1,135000,1,20.95,6,10
2,White,Not Hispanic or Latino,1,>74,66.0,50%-60%,1,205000.0,,7.75,1.406,1,1,1,235000,1,21.82,6,10
2,White,Ethnicity Not Available,1,65-74,37.0,44,1,85000.0,,7.0,1.136,1,1,1,135000,1,13.74,6,10
2,White,Not Hispanic or Latino,1,55-64,118.0,20%-<30%,1,105000.0,,7.625,1.339,1,1,1,135000,1,20.95,6,10
2,White,Not Hispanic or Latino,1,55-64,50.0,45,1,45000.0,,9.0,3.985,1,1,1,95000,1,24.18,6,10
3,White,Not Hispanic or Latino,1,35-44,124.0,50%-60%,1,225000.0,,,,1,1,1,225000,1,28.84,6,1
3,White,Not Hispanic or Latino,2,25-34,67.0,50%-60%,9,125000.0,,,,1,1,1,135000,1,34.55,6,1
3,White,Not Hispanic or Latino,2,65-74,65.0,41,1,185000.0,,,,1,1,1,185000,1,31.47,6,3
3,White,Not Hispanic or Latino,2,65-74,35.0,50%-60%,1,165000.0,,,,1,1,1,155000,1,21.09,6,1
1,White,Hispanic or Latino,1,45-54,89.0,38,9,245000.0,80.0,5.0,-0.305,1,1,1,305000,1,46.63,2,10
1,White,Hispanic or Latino,1,25-34,125.0,41,1,465000.0,96.5,6.0,0.378,2,1,1,475000,1,24.38,1,10
1,White,Not Hispanic or Latino,1,25-34,67.0,49,3,285000.0,75.0,7.625,,1,1,1,375000,3,86.57,2,10
1,White,Not Hispanic or Latino,1,35-44,209.0,45,2,475000.0,80.0,7.49,0.135,1,1,1,595000,1,34.1,2,10
1,White,Not Hispanic or Latino,2,55-64,86.0,50%-60%,9,305000.0,96.444,6.299,1.136,2,1,1,315000,1,18.7,1,10
1,Black or African American,Not Hispanic or Latino,1,55-64,101.0,45,1,295000.0,59.794,6.75,0.866,1,1,1,485000,1,34.8,1,10
1,White,Hispanic or Latino,1,25-34,93.0,49,2,395000.0,96.5,6.568,0.644,2,1,1,405000,1,16.54,1,10
1,White,Not Hispanic or Latino,1,25-34,102.0,45,1,235000.0,85.185,6.375,-0.249,1,1,1,275000,1,34.93,2,10
1,White,Hispanic or Latino,1,35-44,115.0,50%-60%,2,445000.0,96.5,6.056,0.166,2,1,1,455000,1,78.45,1,10
1,White,Not Hispanic or Latino,1,55-64,126.0,47,3,485000.0,97.0,6.999,-0.069,1,1,1,495000,1,39.09,2,10
1,White,Not Hispanic or Latino,2,25-34,90.0,44,1,305000.0,85.0,6.5,-0.001,1,1,1,365000,1,62.35,2,10
1,White,Not Hispanic or Latino,1,35-44,155.0,47,2,245000.0,90.0,7.25,1.364,1,1,1,275000,1,24.18,1,10
1,White,Not Hispanic or Latino,2,45-54,110.0,50%-60%,3,425000.0,84.158,6.75,1.187,2,1,1,495000,1,39.09,1,10
1,Asian,Not Hispanic or Latino,1,35-44,179.0,30%-<36%,3,425000.0,51.515,5.999,0.081,1,1,1,825000,1,29.72,1,10
1,White,Not Hispanic or Latino,1,25-34,103.0,36,2,325000.0,90.0,5.5,-0.213,2,1,1,355000,1,33.23,1,10
1,White,Not Hispanic or Latino,2,45-54,124.0,30%-<36%,1,345000.0,77.528,6.5,0.356,1,1,1,445000,1,26.63,2,10
1,White,Not Hispanic or Latino,1,25-34,92.0,>60%,3,345000.0,100.0,6.375,-0.065,3,1,1,345000,1,25.21,1,10
1,White,Joint,1,45-54,106.0,50%-60%,3,375000.0,96.5,6.875,1.157,2,1,1,385000,1,34.93,1,10
1,White,Not Hispanic or Latino,1,55-64,416.0,<20%,9,275000.0,75.0,6.375,0.164,1,1,1,365000,1,15.57,2,10
1,White,Hispanic or Latino,2,55-64,79.0,50%-60%,3,285000.0,96.5,6.625,1.262,2,1,1,295000,1,33.23,1,10
1,White,Not Hispanic or Latino,1,25-34,113.0,36,3,305000.0,80.0,7.625,1.521,1,1,1,385000,1,27.18,2,10
1,White,Not Hispanic or Latino,1,35-44,93.0,44,3,365000.0,80.0,6.499,0.387,1,1,1,455000,1,21.82,2,10
1,White,Not Hispanic or Latino,2,45-54,100.0,20%-<30%,2,195000.0,85.0,6.875,0.798,1,1,1,235000,1,29.37,2,10
1,White,Hispanic or Latino,1,35-44,70.0,50%-60%,2,345000.0,70.0,5.3,0.154,2,1,1,485000,1,33.23,1,10
1,White,Not Hispanic or Latino,1,25-34,103.0,30%-<36%,1,295000.0,90.0,6.75,1.051,1,1,1,325000,1,29.72,2,10
1,Black or African American,Not Hispanic or Latino,1,65-74,108.0,50%-60%,9,365000.0,90.0,5.625,0.171,2,1,1,405000,1,37.64,1,10
1,White,Hispanic or Latino,2,45-54,149.0,20%-<30%,9,295000.0,95.0,6.5,0.52,1,1,1,305000,1,24.18,1,10
1,White,Not Hispanic or Latino,1,45-54,85.0,42,3,255000.0,80.0,5.999,-0.15,1,1,1,325000,1,24.38,2,10
1,White,Not Hispanic or Latino,1,55-64,200.0,36,2,105000.0,37.037,6.25,0.965,1,1,1,275000,2,21.98,2,10
1,White,Not Hispanic or Latino,1,45-54,592.0,30%-<36%,9,145000.0,75.0,7.75,,1,1,1,195000,3,30.06,1,10
1,White,Not Hispanic or Latino,2,25-34,68.0,50%-60%,3,285000.0,96.5,6.374,0.937,2,1,1,295000,1,21.09,1,10
1,Black or African American,Not Hispanic or Latino,2,25-34,92.0,43,3,285000.0,80.0,5.999,0.551,2,1,1,345000,1,24.18,1,10
1,White,Not Hispanic or Latino,2,35-44,171.0,46,3,455000.0,85.0,6.5,0.81,1,1,1,535000,1,13.87,2,10
1,White,Hispanic or Latino,2,25-34,198.0,44,2,425000.0,85.853,5.5,0.276,2,1,1,495000,1,29.72,1,10
1,Black or African American,Hispanic or Latino,1,35-44,65.0,48,2,235000.0,95.0,6.5,0.911,1,1,1,245000,1,29.37,2,10
1,White,Not Hispanic or Latino,1,35-44,133.0,30%-<36%,9,275000.0,60.0,5.999,-0.259,1,1,1,465000,1,29.37,2,10
1,White,Ethnicity Not Available,2,45-54,86.0,39,3,335000.0,95.0,5.999,0.255,1,1,1,355000,1,29.83,2,10
1,White,Not Hispanic or Latino,1,55-64,94.0,50%-60%,2,425000.0,95.0,5.5,0.44,2,1,1,435000,1,27.18,1,10
1,White,Not Hispanic or Latino,2,25-34,161.0,37,9,395000.0,96.5,6.591,1.621,2,1,1,395000,1,29.72,1,10
1,White,Hispanic or Latino,1,35-44,82.0,50%-60%,3,325000.0,96.066,5.375,-0.479,2,1,1,335000,1,34.55,1,10
1,White,Joint,1,25-34,130.0,44,9,275000.0,96.5,5.622,0.402,2,1,1,275000,1,20.95,1,10
1,White,Hispanic or Latino,2,25-34,76.0,46,1,135000.0,90.0,6.999,0.397,1,1,1,145000,1,34.93,1,10
1,White,Not Hispanic or Latino,1,35-44,118.0,43,9,315000.0,90.0,6.5,0.12,1,1,1,345000,1,22.13,2,10
1,Joint,Not Hispanic or Latino,2,55-64,148.0,43,2,465000.0,80.0,6.25,0.019,1,1,1,585000,1,29.72,1,10
1,Black or African American,Ethnicity Not Available,1,35-44,200.0,30%-<36%,9,455000.0,96.5,6.858,1.217,2,1,1,465000,1,47.96,1,10
1,Black or African American,Not Hispanic or Latino,1,45-54,150.0,43,1,525000.0,80.0,6.75,0.297,1,1,1,655000,1,13.87,1,10
1,White,Not Hispanic or Latino,1,25-34,92.0,50%-60%,9,435000.0,90.0,4.8,-0.71,2,1,1,475000,1,13.87,1,10
1,Black or African American,Not Hispanic or Latino,2,35-44,109.0,50%-60%,3,465000.0,96.5,5.375,-0.462,2,1,1,475000,1,30.71,1,10
1,White,Hispanic or Latino,1,45-54,104.0,36,3,365000.0,95.0,5.875,-0.424,1,1,1,385000,1,28.84,2,10
1,White,Not Hispanic or Latino,1,55-64,60.0,41,2,185000.0,80.0,6.875,0.544,1,1,1,225000,1,22.75,2,10
1,White,Not Hispanic or Latino,1,65-74,160.0,20%-<30%,9,305000.0,80.0,6.75,0.285,1,1,1,385000,1,29.72,2,10
1,White,Not Hispanic or Latino,6,25-34,109.0,48,1,325000.0,94.118,6.25,0.352,1,1,1,345000,1,31.03,2,10
1,White,Not Hispanic or Latino,2,55-64,166.0,46,1,295000.0,85.0,6.993,0.759,1,1,1,345000,1,13.39,1,10
1,White,Not Hispanic or Latino,1,35-44,130.0,37,2,405000.0,95.0,6.125,-0.162,1,1,1,425000,1,14.83,2,10
1,White,Not Hispanic or Latino,2,35-44,44.0,47,3,125000.0,75.0,5.7,-0.322,1,1,1,175000,1,50.53,2,10
1,White,Not Hispanic or Latino,1,35-44,113.0,47,1,355000.0,95.0,6.5,0.516,1,1,1,375000,1,42.75,2,10
1,White,Not Hispanic or Latino,1,45-54,317.0,30%-<36%,3,955000.0,96.939,5.874,-0.623,3,1,1,985000,1,13.89,1,10
1,White,Not Hispanic or Latino,1,25-34,113.0,30%-<36%,3,335000.0,80.0,5.999,-0.325,1,1,1,415000,1,42.75,2,10
1,Black or African American,Not Hispanic or Latino,2,45-54,87.0,49,3,465000.0,95.0,5.625,-0.387,1,1,1,485000,1,28.27,2,10
1,White,Not Hispanic or Latino,1,55-64,170.0,50%-60%,2,295000.0,96.5,6.594,0.995,2,1,1,305000,1,31.76,1,10
1,White,Hispanic or Latino,2,25-34,113.0,30%-<36%,3,355000.0,95.0,5.553,-0.425,1,1,1,375000,1,48.78,2,10
1,White,Not Hispanic or Latino,1,35-44,961.0,<20%,1,325000.0,90.0,6.5,0.785,1,1,1,365000,1,42.03,2,10
1,White,Not Hispanic or Latino,1,25-34,146.0,41,9,445000.0,95.0,7.125,1.178,1,1,1,465000,1,20.01,2,10
1,White,Joint,3,35-44,179.0,42,1,445000.0,96.5,5.58,0.164,2,1,1,455000,1,25.57,1,10
1,White,Not Hispanic or Latino,1,45-54,122.0,46,3,515000.0,95.0,5.999,-0.04,1,1,1,545000,1,22.75,2,10
1,White,Not Hispanic or Latino,1,65-74,126.0,42,9,335000.0,80.0,6.5,0.052,1,1,1,425000,1,16.54,1,10
1,White,Hispanic or Latino,2,35-44,181.0,46,3,385000.0,95.0,5.625,-0.727,1,1,1,405000,1,25.21,2,10
1,White,Hispanic or Latino,1,25-34,63.0,46,3,305000.0,75.0,5.999,-0.208,1,1,1,405000,1,13.89,2,10
1,Asian,Not Hispanic or Latino,1,35-44,259.0,30%-<36%,1,565000.0,80.0,5.999,-0.204,1,1,1,705000,1,18.7,1,10
1,White,Hispanic or Latino,2,45-54,148.0,47,9,405000.0,95.0,7.5,1.111,1,1,1,425000,1,48.78,1,10
1,White,Hispanic or Latino,2,<25,46.0,49,3,135000.0,97.0,6.5,0.578,1,1,1,135000,1,42.75,2,10
1,White,Not Hispanic or Latino,1,65-74,89.0,30%-<36%,2,125000.0,25.253,6.875,0.239,1,1,1,495000,1,29.72,2,10
1,White,Not Hispanic or Latino,1,25-34,245.0,30%-<36%,2,365000.0,75.0,6.99,0.438,1,1,1,485000,1,13.87,2,10
1,White,Hispanic or Latino,2,35-44,158.0,50%-60%,2,435000.0,96.412,6.0,0.351,2,1,1,435000,1,26.63,1,10
1,White,Hispanic or Latino,2,35-44,127.0,47,1,375000.0,72.635,5.998,-0.332,1,1,1,525000,1,21.56,2,10
1,White,Not Hispanic or Latino,2,25-34,166.0,20%-<30%,9,305000.0,80.0,6.499,0.193,1,1,1,375000,1,26.6,2,10
1,White,Not Hispanic or Latino,2,35-44,166.0,20%-<30%,1,405000.0,80.0,6.5,-0.038,1,1,1,505000,1,34.1,2,10
1,Black or African American,Not Hispanic or Latino,1,35-44,107.0,42,1,435000.0,95.0,6.5,0.35,1,1,1,465000,1,21.56,2,10
1,Asian,Not Hispanic or Latino,2,45-54,204.0,40,9,635000.0,90.0,6.75,0.363,1,1,1,705000,1,27.18,2,10
1,White,Not Hispanic or Latino,1,35-44,65.0,49,1,245000.0,75.0,6.5,-0.008,1,1,1,325000,1,35.04,2,10
1,White,Not Hispanic or Latino,1,<25,55.0,39,1,205000.0,64.516,6.375,-0.171,1,1,1,315000,1,30.06,2,10
1,White,Not Hispanic or Latino,1,45-54,203.0,30%-<36%,2,405000.0,90.0,7.625,1.049,1,1,1,455000,1,16.54,2,10
1,White,Not Hispanic or Latino,2,35-44,252.0,20%-<30%,3,635000.0,90.0,6.999,0.513,1,1,1,705000,1,22.75,2,10
1,White,Not Hispanic or Latino,2,25-34,88.0,49,3,395000.0,95.0,6.5,0.245,1,1,1,415000,1,29.72,2,10
1,White,Not Hispanic or Latino,1,45-54,97.0,47,2,375000.0,65.217,6.999,,1,1,1,575000,3,26.05,2,10
1,White,Not Hispanic or Latino,1,45-54,114.0,45,2,445000.0,90.0,6.499,0.113,1,1,1,485000,1,34.99,2,10
1,White,Ethnicity Not Available,1,25-34,96.0,43,2,385000.0,82.703,5.999,-0.358,1,1,1,465000,1,34.93,2,10
1,White,Not Hispanic or Latino,1,35-44,105.0,20%-<30%,1,285000.0,95.0,6.568,0.54,2,1,1,305000,1,16.54,1,10
1,White,Ethnicity Not Available,2,35-44,99.0,20%-<30%,1,195000.0,97.0,6.875,0.423,1,1,1,205000,1,28.27,1,10
1,Black or African American,Not Hispanic or Latino,2,35-44,171.0,38,1,505000.0,61.728,6.5,0.085,1,1,1,815000,1,25.57,1,10
1,White,Not Hispanic or Latino,2,25-34,114.0,30%-<36%,2,305000.0,92.769,6.974,0.386,1,1,1,325000,1,42.03,2,10
1,Black or African American,Not Hispanic or Latino,1,35-44,103.0,49,1,315000.0,95.0,5.995,-0.409,1,1,1,335000,1,53.93,2,10
1,White,Hispanic or Latino,1,25-34,129.0,47,3,455000.0,95.0,6.999,0.612,1,1,1,485000,1,26.05,2,10
1,White,Not Hispanic or Latino,2,55-64,227.0,30%-<36%,1,495000.0,80.0,7.375,0.289,1,1,1,625000,1,22.13,2,10
1,White,Not Hispanic or Latino,1,<25,132.0,30%-<36%,1,325000.0,95.0,6.999,0.579,1,1,1,345000,1,38.24,2,10
1,White,Ethnicity Not Available,2,25-34,189.0,20%-<30%,2,395000.0,97.0,6.5,-0.078,1,1,1,405000,1,34.1,2,10
1,Black or African American,Not Hispanic or Latino,2,35-44,195.0,41,3,475000.0,95.0,6.75,0.5,1,1,1,505000,1,28.84,2,10
1,White,Not Hispanic or Latino,1,65-74,101.0,30%-<36%,1,255000.0,71.831,7.375,0.566,1,1,1,355000,1,42.03,1,10
1,White,Not Hispanic or Latino,1,25-34,87.0,47,1,335000.0,97.0,6.499,-0.095,1,1,1,355000,1,30.06,1,10
1,White,Not Hispanic or Latino,1,25-34,152.0,45,2,405000.0,97.0,6.999,0.514,1,1,1,415000,1,30.71,2,10
1,Black or African American,Hispanic or Latino,2,25-34,108.0,41,1,375000.0,95.0,6.5,0.122,1,1,1,395000,1,22.13,2,10
1,White,Hispanic or Latino,1,45-54,99.0,30%-<36%,2,305000.0,90.0,6.65,-0.103,1,1,1,335000,1,28.19,2,10
1,Black or African American,Not Hispanic or Latino,2,35-44,110.0,49,1,405000.0,90.0,6.75,0.117,1,1,1,455000,1,34.93,2,10
1,American Indian or Alaska Native,Not Hispanic or Latino,1,25-34,94.0,30%-<36%,1,205000.0,38.168,6.5,-0.574,1,1,1,525000,1,47.96,1,10
1,Black or African American,Not Hispanic or Latino,1,45-54,107.0,50%-60%,1,365000.0,94.652,6.875,0.645,2,1,1,375000,1,63.55,1,10
1,White,Not Hispanic or Latino,1,35-44,100.0,49,2,295000.0,97.0,6.999,0.446,1,1,1,305000,1,24.18,1,10
1,White,Not Hispanic or Latino,1,25-34,136.0,37,9,305000.0,84.658,6.999,0.225,1,1,1,355000,1,30.71,1,10
1,White,Not Hispanic or Latino,1,25-34,118.0,30%-<36%,9,205000.0,90.0,6.625,-0.252,1,1,1,225000,1,29.37,2,10
1,White,Hispanic or Latino,1,55-64,142.0,42,9,385000.0,95.0,7.125,0.548,1,1,1,415000,1,29.58,2,10
1,Asian,Not Hispanic or Latino,2,45-54,120.0,49,1,395000.0,80.0,6.999,0.153,1,1,1,485000,1,22.13,1,10
1,Asian,Not Hispanic or Latino,1,35-44,146.0,41,2,485000.0,89.905,6.624,0.147,2,1,1,525000,1,21.56,1,10
1,White,Not Hispanic or Latino,2,25-34,222.0,20%-<30%,2,135000.0,90.0,6.999,0.36,1,1,1,155000,1,67.62,1,10
1,White,Not Hispanic or Latino,2,25-34,110.0,36,2,355000.0,70.0,6.999,0.185,1,1,1,515000,1,24.18,2,10
1,White,Hispanic or Latino,2,35-44,294.0,44,2,665000.0,95.0,6.499,-0.213,1,1,1,705000,1,20.03,1,10
1,White,Not Hispanic or Latino,1,25-34,113.0,44,3,385000.0,97.0,6.999,0.469,1,1,1,405000,1,20.95,2,10
1,White,Hispanic or Latino,1,45-54,77.0,43,3,255000.0,96.5,6.75,0.549,2,1,1,265000,1,33.23,1,10
1,White,Hispanic or Latino,1,35-44,137.0,38,3,435000.0,94.444,6.749,0.255,2,1,1,455000,1,29.72,1,10
1,White,Not Hispanic or Latino,2,45-54,53.0,38,9,135000.0,75.0,5.125,-1.623,1,1,1,175000,1,42.03,1,10
1,White,Not Hispanic or Latino,1,25-34,155.0,45,1,405000.0,80.0,7.5,0.613,1,1,1,515000,1,14.83,2,10
1,White,Not Hispanic or Latino,1,55-64,125.0,45,1,335000.0,80.0,7.48,-0.163,1,1,1,415000,1,29.72,1,10
1,American Indian or Alaska Native,Hispanic or Latino,2,25-34,84.0,48,2,335000.0,97.0,6.999,0.098,1,1,1,345000,1,35.04,2,10
1,White,Not Hispanic or Latino,1,25-34,210.0,<20%,2,365000.0,80.0,7.5,0.065,1,1,1,465000,1,14.22,1,10
1,White,Hispanic or Latino,1,35-44,101.0,46,1,435000.0,75.0,6.875,-0.649,1,1,1,575000,1,31.47,2,10
1,White,Not Hispanic or Latino,2,55-64,120.0,30%-<36%,2,315000.0,70.0,7.499,,1,1,1,455000,3,31.03,1,10
1,Black or African American,Not Hispanic or Latino,2,45-54,179.0,43,9,385000.0,95.0,7.81,0.818,1,1,1,405000,1,25.21,1,10
1,Joint,Joint,1,35-44,337.0,38,9,375000.0,60.0,7.125,-0.197,1,1,1,625000,2,14.83,2,10
1,Black or African American,Not Hispanic or Latino,2,35-44,232.0,30%-<36%,3,345000.0,73.404,7.999,0.464,1,1,1,475000,1,45.01,2,10
1,White,Not Hispanic or Latino,1,35-44,200.0,50%-60%,9,665000.0,80.0,7.125,-0.132,1,1,1,835000,1,21.56,2,10
1,Black or African American,Not Hispanic or Latino,2,45-54,115.0,50%-60%,1,405000.0,96.5,7.25,0.552,2,1,1,415000,1,29.37,1,10
1,Black or African American,Not Hispanic or Latino,2,35-44,134.0,49,1,415000.0,96.5,8.125,1.352,2,1,1,425000,1,86.57,1,10
1,Black or African American,Not Hispanic or Latino,2,35-44,83.0,47,2,345000.0,93.739,7.125,0.523,2,1,1,355000,1,30.71,2,10
1,White,Not Hispanic or Latino,1,25-34,105.0,45,3,225000.0,37.438,6.991,-0.492,1,1,1,605000,1,26.05,2,10
1,White,Hispanic or Latino,1,45-54,95.0,45,3,235000.0,54.023,7.665,0.506,1,1,1,435000,1,25.21,2,10
